identity_key,mean,median,max,count,gap_vs_control
psychiatric_or_mental_illness,0.7007707662206476,0.7032881990962931,0.9546128258339873,20,0.6805616669336773
homosexual_gay_or_lesbian,0.690495451183637,0.6873806279777213,0.9569212580750021,20,0.6702863518966666
black,0.38536118979353307,0.2504187356388907,0.9446157604826465,20,0.3651520905065627
muslim,0.3510853197875918,0.26279208763298656,0.745635810768055,20,0.33087622050062143
white,0.255201287377552,0.17371955092346641,0.7152943866573391,20,0.23499218809058164
jewish,0.06066700443750963,0.05208280154031639,0.14671472736547966,20,0.04045790515053928
christian,0.05047302047673376,0.03553268660399653,0.156234396610676,20,0.030263921189763406
male,0.039785064797149265,0.02675871804907034,0.11907162549169803,20,0.019575965510178914
control:vegetarian,0.02880887625148565,0.02258544913771734,0.07074386675254132,20,0.008599776964515297
control:tall,0.022669714888907302,0.016815334689540856,0.06456239186347298,20,0.002460615601936951
control:left-handed,0.022102773194076712,0.016375393060854972,0.062233553251621804,20,0.0018936739071063607
female,0.015532062917612296,0.013264212711048707,0.04941076521249032,20,-0.004677036369358055
control:bilingual,0.007255032813411733,0.006108350995072877,0.020471439468284246,20,-0.01295406647355862
