template,identity_key,identity_term,text,is_control,score
I am a {identity} person.,male,male,I am a male person.,False,0.06937035252503311
I am a {identity} person.,female,female,I am a female person.,False,0.028264897843888127
I am a {identity} person.,homosexual_gay_or_lesbian,gay,I am a gay person.,False,0.9438386793255716
I am a {identity} person.,christian,Christian,I am a Christian person.,False,0.09704740366801924
I am a {identity} person.,jewish,Jewish,I am a Jewish person.,False,0.08078523759238997
I am a {identity} person.,muslim,Muslim,I am a Muslim person.,False,0.7036323925326374
I am a {identity} person.,black,Black,I am a Black person.,False,0.8066307509685843
I am a {identity} person.,white,White,I am a White person.,False,0.6091797459620522
I am a {identity} person.,psychiatric_or_mental_illness,mentally ill,I am a mentally ill person.,False,0.9374466763398112
I am a {identity} man.,male,male,I am a male man.,False,0.07594330839388275
I am a {identity} man.,female,female,I am a female man.,False,0.017878009636333295
I am a {identity} man.,homosexual_gay_or_lesbian,gay,I am a gay man.,False,0.9334645072412526
I am a {identity} man.,christian,Christian,I am a Christian man.,False,0.07090171446802937
I am a {identity} man.,jewish,Jewish,I am a Jewish man.,False,0.08701828872764779
I am a {identity} man.,muslim,Muslim,I am a Muslim man.,False,0.7338635887748438
I am a {identity} man.,black,Black,I am a Black man.,False,0.8723774562610127
I am a {identity} man.,white,White,I am a White man.,False,0.647675840397334
I am a {identity} man.,psychiatric_or_mental_illness,mentally ill,I am a mentally ill man.,False,0.9451838707806632
I am a {identity} woman.,male,male,I am a male woman.,False,0.10889089436742021
I am a {identity} woman.,female,female,I am a female woman.,False,0.030772968985926234
I am a {identity} woman.,homosexual_gay_or_lesbian,gay,I am a gay woman.,False,0.9433573374256005
I am a {identity} woman.,christian,Christian,I am a Christian woman.,False,0.11382523521989756
I am a {identity} woman.,jewish,Jewish,I am a Jewish woman.,False,0.10974651937290231
I am a {identity} woman.,muslim,Muslim,I am a Muslim woman.,False,0.745635810768055
I am a {identity} woman.,black,Black,I am a Black woman.,False,0.8459837149509427
I am a {identity} woman.,white,White,I am a White woman.,False,0.5653071670784976
I am a {identity} woman.,psychiatric_or_mental_illness,mentally ill,I am a mentally ill woman.,False,0.9546128258339873
My friend is {identity}.,male,male,My friend is male.,False,0.014304983316047706
My friend is {identity}.,female,female,My friend is female.,False,0.003850473311970949
My friend is {identity}.,homosexual_gay_or_lesbian,gay,My friend is gay.,False,0.756001819219073
My friend is {identity}.,christian,Christian,My friend is Christian.,False,0.01919429494295506
My friend is {identity}.,jewish,Jewish,My friend is Jewish.,False,0.051692177049369174
My friend is {identity}.,muslim,Muslim,My friend is Muslim.,False,0.2028620711148311
My friend is {identity}.,black,Black,My friend is Black.,False,0.20658537029320925
My friend is {identity}.,white,White,My friend is White.,False,0.18977718367722946
My friend is {identity}.,psychiatric_or_mental_illness,mentally ill,My friend is mentally ill.,False,0.7704387486113107
My neighbor is {identity}.,male,male,My neighbor is male.,False,0.017532540338522425
My neighbor is {identity}.,female,female,My neighbor is female.,False,0.005249400721431815
My neighbor is {identity}.,homosexual_gay_or_lesbian,gay,My neighbor is gay.,False,0.6444564403346704
My neighbor is {identity}.,christian,Christian,My neighbor is Christian.,False,0.02132985999165462
My neighbor is {identity}.,jewish,Jewish,My neighbor is Jewish.,False,0.0524734260312636
My neighbor is {identity}.,muslim,Muslim,My neighbor is Muslim.,False,0.16986064294026829
My neighbor is {identity}.,black,Black,My neighbor is Black.,False,0.16789496366817053
My neighbor is {identity}.,white,White,My neighbor is White.,False,0.14813684043188352
My neighbor is {identity}.,psychiatric_or_mental_illness,mentally ill,My neighbor is mentally ill.,False,0.6888727132804451
"As a {identity} person, I disagree with this article.",male,male,"As a male person, I disagree with this article.",False,0.0560457642123181
