comment_text,target,prediction,male,female,homosexual_gay_or_lesbian,christian,jewish,muslim,black,white,psychiatric_or_mental_illness,error_stratum
"First.   All these pink hats on heads was a disgrace to womanhood. Pink P hat.   Really?  Even the reporter wore one on MSNBC's anchor desk which was horrifying.    I'd used Donald Trump's famous words.  You're fired.   What on earth were these women thinking by wearing such a disgusting symbol on their heads?   The protest was a joke in my opinion.   Secondly,  Madonna should be in a jail cell all by herself because her filth would contaminate other inmates.",0.4,0.8060720384092387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_confidence_fp
"I'm going out on a limb & say unlike Obama inviting black supremacist group Black Lives Matter to the White House twice, PresidentTrump won't be inviting  white supremacist David Duke.",0.0,0.7119770582571773,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,high_confidence_fp
Holy crap!  You are amaze! Such fun!,0.3043478260869565,0.965979608966781,,,,,,,,,,high_confidence_fp
"And on top of your points we retain our socialist ""supply management"" system whilst calling for free trade internationally and yet are incapable of free trade internally. Talk about a screwed up hypocritical country.",0.4,0.8186879888640108,,,,,,,,,,high_confidence_fp
"Wow, interesting deflection. Were you not the person that said ""Failed businessman, serial liar, racist, misogynist and ignoramus""? Isn't that name calling? You are criticizing my Hero? My Dad? Did you know my Dad? He is the only real hero I have ever known. Trump is my choice for president, not my hero. Actually, if you remember correctly, the republicans won huge successes in the election of 2010, running on stopping Obamacare, stopping Obama and the democrats agenda. They failed to stop anything. In 2014, the republicans won another huge electoral success running on essentially the same promises to stop Obama. They did not stop anything. Fool me once, shame on you, fool me twice, shame on me. That made most republicans a bit angry and feel betrayed. The establishment can say what they want. They lost the loyalty of a large number of republicans. Does Trump whine? yes, he does. What level of hypocrisy does it require to support a woman no longer qualified to handle classified info?",0.3,0.8525319170815447,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_confidence_fp
"CE reminds us once again how ugly racism is, especially when it has nothing to do with the subject. He sees in black and white and his comments are that of a sociopath in heat.",0.4,0.8889248870058415,,,,,,,,,,high_confidence_fp
Another liar?,0.3,0.944502175066952,,,,,,,,,,high_confidence_fp
"Darn right!

Next, Cory plans to stick his neck out even farther and go after cancer.",0.196078431372549,0.8705982854916169,,,,,,,,,,high_confidence_fp
"I am a proud American to have Donald Trump as our 45th United States President.  This President is for Americans and Americans only.  He is bringing back ""common sense"" in place of Obama's political correctness a tool for the mental-illness liberals who want to take away our Godly family values for their socialist or another name for it, communisim to this country.
    I don't think its a good idea for President Trump to go into the evil darkness of these late night shows that literally hate him for what he stands for.
     These liberals are for killing the unborn (abortion) and God's covenant of marriage of one man and one woman.  Unfortunately, most Americans approved of what God has instituted for human beings on earth.  This is why we a total collapse of morality in this country.
       I hope President Trump don't step into the hell on earth with these mental-lillness idiots on late night programs.",0.4,0.9666022619307258,,,,,,,,,,high_confidence_fp
"Sayem, we're reading about his despicable antics in the Globe and Mail today - I'd say that's pretty good self-promotion.  The fact that he ""says some stupid things"" doesn't take away from that.  The key to his self-promotion is denial - in the face of evidence - that he's a racist.  It's not the only racist group to try that tactic.

I asked you: ""Can you give one example of such a successful law suit?"" Apparently you can't. 

Instead you ask me to watch his 10-minute Rebel Media youtube vid.  No thanks - this article was more than I wanted to know about him.",0.4,0.7628431975984121,,,,,,,,,,high_confidence_fp
"I handled many fatality & serious injury claims over the years, and let me tell you....I never came across a single driver who cavalierly just walked away, saying ""Whoo-Hoo! I'm off the hook!"". They, too, are devastated.  They will live with it, for the rest of their lives & so will their family members. Some have required counselling, to help them. Some sought some god or another. They relive their moment of stupidity, over and over and OVER again, even in their sleep.
Putting them behind bars would serve no purpose, other than revenge. It won't bring back the dead, or make someone walk again. It WILL ruin more lives & cause more grief.
They are already in a prison, for the rest of their lives, and there's no escaping it.",0.3,0.7190513168430351,,,,,,,,,,high_confidence_fp
"Someone keeps yelling at you, ""You hate me, hate me, hate me!!!!"", and then throw in made up stuff, some true stuff that predates both your existence and things that totally contradict who you are as a person. You attempt to respond and attempt to offer proof to deaf ears, shouts and tears. If this happens again and again and again, what happens over time? That someone may now be right, I do dislike you (hate is such a strong word and reserved for Brussel sprouts and warm beer) but it is not because of your race, gender, sexual preference or religion, it's because you're a jerk. Problems are solved by civil discourse and it's way to early to jump on the civil disobedience train. I was raised by a father who was very biased, a bias based on ignorance and limited experiences. A few bi-racial grandchildren and a gay nephew later changed him, not someone yelling in his face. Things are not as bad as they seem but we can make it look that way, perception is reality. Don't get sucked in.",0.4411764705882353,0.7876888200008706,0.2,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,high_confidence_fp
"The new left is not passive any longer. They have seen their country slowly going backwards by racist people and have begun to fight in the streets when provoked. It wasn't the left beating unarmed black people at Selma and across the south, IT was the KKK and the white supremacist.
These young left have seen footage of these atrocities on film as they grew older year in and year out. They have had time to form an opinion on what is right and just and are now acting upon it.
There can be no ""good guys"" that would walk arm and arm with these KKK/Neo nazi/Supremacist.
If you had a tiki torch that night, you let the whole world know that you are a hateful person and only concerned on what is best for you. Take back america? were they native Indians? native Hawaiians?
the mix of European white males claiming a land that was not inherently theirs until a purchase was made is a bit much or alot of ignorance.
Can you support white preservation and not be a racist? answer is no.",0.4,0.8084254677698121,0.3,0.1,0.0,0.0,0.0,0.0,0.7,0.8,0.0,high_confidence_fp
"The fool in this comment is obvious. How do you possibly imagine that someone would agree with your silly point. 23 million kicked off  health insurance is really helping Americans. Do you have ONE thing Trump did, that has DIRECTLY affected you or a member of your family. You certainly don't know what Globalists are...",0.3,0.7940811018013211,,,,,,,,,,high_confidence_fp
"well, at least it seems like they are doing the right thing by asking. rather than just shooting the darn thing (vandalism?)... or getting a really long paint roller and painting black paint over it / getting up there with a can of black spray paint (defacing property?) ... or getting up there and covering it with a big black garbage bag (littering?)...",0.4,0.9013601924560332,,,,,,,,,,high_confidence_fp
Too many brats Bob? You should reread your rant. I hope you are able to read the petitions- both of them. Or watch the commissioners meeting on the hospital website.,0.8,0.0441932770159896,,,,,,,,,,high_confidence_fn
"Also, he never ""refused to call his students by their preferred pronouns"". That situation never even came up. He opposed to Bill C-16 and the policies surrounding it, because it effectively makes not calling somebody by their preferred pronouns a hate crime, which he considers to be compelled speech (which it is).
Also, he doesn't have that many followers because of some stupid pronouns debate. That's how most people discovered him, but that's not why they're staying. He has a profound impact on a lot of people, through his psychological and philosophical views, and by pleading to take personal responsibility for your life. 
Take your time, look through every single one of his videos and find me ONE instance where Peterson incites violence or harassment in any kind to anyone. You won't find a thing.

Also, ""a new right wave is sweeping North American campuses""? Give me a break.",0.6,0.098338560620788,,,,,,,,,,high_confidence_fn
"Nobody likes taxes, but it's good to know that you object to participating in society. 

I dispute that a flat income tax or sales tax is fair, however. The upshot of a sales tax is that it would draw in some revenue from tourists and other Outside folks; the downside is the price of what you buy is never the actual price, plus you're essentially farming out tax collection to all your small businesses. And flat income taxes are garbage.",0.6,0.0873293916383883,,,,,,,,,,high_confidence_fn
"Forgive me for looking that up....
Stats for 2013 were 8500 murdered by firearms, 428 by 'blunt objects.' Long guns 285...but, of course, parsing reality is a game (blunt objects could mean a rock).  
Doesn't change a thing: the US has a gun problem.  Bumper sticker philosophy has as much depth as the current president.   Makes you feel clever, but just comes across as ignorant to the majority of Americans",0.5,0.0565315061711648,,,,,,,,,,high_confidence_fn
"In later news, all you grant whores are fired...",0.6714285714285714,0.1088385245827409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_confidence_fn
"Uh, Rebecca, you are seriously wrong.  You have a morality deficit.  And judging by your spelling, you're functionally illiterate as well.",0.5932203389830508,0.0661449441623436,,,,,,,,,,high_confidence_fn
"LW1: Oh, honey, you're a mess. Work on your own Scheisse and stop getting involved with that of 30-year-old servers, especially ones you work with.",0.6,0.0966183153662921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high_confidence_fn
"If the nurse was black this country would be in flames by now.  In any event, the officer will be punished.",0.6,0.1882240894739292,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,high_confidence_fn
"1.  If you were dumb enough to sign up for it, you should pay for it.
2.  If state universities didn't make the same promises, and charge for it, this might be a valid point; but most all colleges recruit students that will not complete the course, or find jobs after they do complete the course.  Not everyone needs to go to college, so don't.  I did, and I have never worked in my degree area.  I didn't miss it.  I paid for it myself without loans (work, no car). 
3.  If you take out a loan...pay it off.",0.6,0.028227283237486,,,,,,,,,,high_confidence_fn
"Canadians had better get used to the fact that they do not have a God-given right to enter the USA.  If this is the way that the US is going to be, then to hell with them.   Stay away.",0.6,0.0504431997680826,,,,,,,,,,high_confidence_fn
20% of the population has mental problems? Heaven help us all.,0.5,0.0119587166300602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,high_confidence_fn
"Who gives a sheet?  Not me, as I will watch the Democrap Party clown protesters' antics on TV.  If violent protesters run amok from the Pearl Harbor/Hickam Base through the Waikiki area, we may receive national and international recognition as an ""illegal alien/immigrant sanctuary"" city.",0.6,0.2386414437485333,,,,,,,,,,high_confidence_fn
"yeah, no one is excited about the trip. What a joke our governments are for corporations that suck the life out of Canada and lobby to import temporary foreign workers and have Shell games world-wide.",0.5,0.1426963950332726,,,,,,,,,,high_confidence_fn
"Silly rabbit.  
That's not where it starts in most cases like this.
It starts with an individual breaking the law.
Then police are called.
It then proceeds to said individual threatening police after they engage him/her.
From there it follows basic police procedure.

It's simple really. 

Hundreds of people interact with police officers on a daily basis and make good decisions and wake up the next morning.
A few don't.",0.8333333333333333,0.0400947511362397,,,,,,,,,,high_confidence_fn
"Good that he resigned. A stupid thing to do knowing that his Boss seeks to ""drain the swamp"" and cut the incredible amount of Waste$  in DC.

Obama spent MUCH More than That! 
 Published: 07/13/2016 :
""President Obama, who famously suggested he would give up taking vacations if he was elected president, has spent nearly $80 million of taxpayer money on vacations according to the newest total compile by Judicial Watch, which has been monitoring those costs since Obama moved into the White House and started getting away to Hawaii, sending his kids to Mexico for spring break and his wife to Africa. Judicial Watch said Wednesday the information from the Department of Homeland Security shows the Obama family’s August 2015 vacation on Martha’s Vineyard cost taxpayers $465,420.49 in Secret Service expenses alone.

Read more at http://www.wnd.com/2016/07/no-vacation-obama-spends-80-million-on-vacations/#AljiArAytBGme0g6.99
Gary Crum:  Gary, Gary, Gary... WHAT Boss anywhere wants his employees",0.5,0.1122876850837951,,,,,,,,,,high_confidence_fn
"They do not PULL the teeth. They cut into it with no anaesthetic, leaving a tooth stub with an exposed nerve ending and leaving the boar in agony. The sadistic hayseeds probably enjoy doing it as well. Why on earth would you support such a barbaric, heinous practice? Seriously, what is wrong with you?",0.5,0.5898211899143981,,,,,,,,,,near_threshold
"The drug laws have always been about race. George Washington grew hemp. When white men figured out that black and brown people used hemp for medicine and comfort, they made pot illegal. The average white person is in denial of this simple truth. Most white folks refuse to admit the role of white racism in the the building of the nation, to this day. Our current president got elected by denying Obama's citizenship. What is not racist about that?",0.1666666666666666,0.5279134781925412,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.0,near_threshold
"No, every Trumpanzee, personal military history or not, should be outraged at Trump for taking advantage of that poor woman's grief, then disrespecting Ryan who put his trust in and gave his life at the direction of a petty dictator who doesn't even have the balls to accept responsibility for ordering him to his death. You're the one who should be embarrassed here, no one else.  Trump is unfit for the presidency in every possible way.",0.6,0.5351228021306745,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,near_threshold
There are too many rat's in the cellar. It's time to execute some of these traitors including some that reside in the White House.,0.7,0.5467073550340864,,,,,,,,,,near_threshold
"The majority voted for Hillary Clinton.  And you've nominated and elected to the most powerful office in the world a man who typifies nearly every one of the 7 deadly sins and breaks the 10 commandments on a daily basis.  If there's one good thing to come out of this election, I sure as **** don't have to listen to hypocritical moralizing about values from the likes of Mr. Smith anymore.",0.2,0.5225653327143372,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,near_threshold
It is sucking all of the cash out of our economy.  All by fraud and corruption.  Think about that.,0.215686274509804,0.5487480462503822,,,,,,,,,,near_threshold
"If Jeff Flake has his way, the US will become a third world hell hole within a generation. Might I suggest that Tom Rogan and the Washington Examiner are the clowns?",0.7,0.4229695721600504,,,,,,,,,,near_threshold
"I wasted one of my 8 free articles this month because I can't resist the urge to ask the obvious question; what is wrong with the people of OntariOWE? 

Honestly, someone else commented on there being something wrong with the water table in this province and I cannot disagree. 

Know this, Kathleen Wynnbag is only interested in herself. She is not the least bit interested in your particular problem just so long as she can dupe you people into voting for her again. The greatest business strategy in the world, and consequently the most long-lived and successful one, is a strategy the identifies human gullibility and takes advantage of it. It is a guaranteed success every time because stupid, lazy people out number educated, intelligent people who were raised under the belief that you need to work for what you want.

Anyone who tells you life is easy or ""it's free"" is either lying to you or selling something. Wynnbag knows this all too well. Evidently, this poll proves my point.",0.3,0.420698403811254,,,,,,,,,,near_threshold
"It's hard to know if this person is serious, or if this is satire.  I've seen a lot of ridiculous comments today, so it could go either way.",0.0,0.4849421430470252,,,,,,,,,,near_threshold
She sounds very deeply disturbed and wants to blame her mental problems on the sheriff. His detractors are using her delusions as a means to assassinate the sheriff's reputation and should be ashamed of themselves!,0.2413793103448276,0.4281436694230756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,near_threshold
As opposed to liar liar Hillary locking up more of Alaska,0.3,0.5247369402887576,,,,,,,,,,near_threshold
"The two biggest groups in the media - Antifa as well as Black lives Matter- are justifying their violence as predominantly bigots, with interjecting racist opinions themselves.

These violent counter protests by bigoted racists are entwined completely.

Bigot
https://www.merriam-webster.com/dictionary/bigot

Racist
https://www.merriam-webster.com/dictionary/racism 


* Three arrested at anti-white supremacy protest outside North Side courtroom...

* Antifa Leader Celebrates OJ Simpson Release, Says He'll be Killing More White People!",0.5,0.5183050012666791,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,near_threshold
"When Siemian got time, he played pretty well.  How about we look at the dropped passes, muffed punts, and stupid penalties. I don't think VJ has control of this team, but I agree with is assessment that there is a lot of blame to go around than simply blaming Siemian!  Remember, even Jon Gruden remarked about how no QB would succeed behind this offensive line!",0.4,0.4812549535065815,,,,,,,,,,near_threshold
"The problem is these kids are doing everything they can in every way to push people outside of society simply because many can't afford it. Choking on woodsmoke inside their homes ~ seriously? I've lived everywhere remote to urban and sorry but that's complete BS! I actually love the smell of a wood stove piping out smoke, reminds me of warmth. 
This is elite BS mongering crap at its peak in Alaska! Politics at its worst lol. Choose for yourself but they achieve my middle finger.
The truth of WTH is his name? Oh it's ""Art Chance..""",0.7,0.5891384366137257,,,,,,,,,,near_threshold
This guy deserves the death penalty,0.7571428571428571,0.4842079276276114,,,,,,,,,,near_threshold
